#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
487 1948 407.456 0.958 2.086 0.681 0.683
488 1952 408.239 0.635 1.896 0.854 0.546
489 1956 408.744 0.784 1.857 0.592 0.789
490 1960 409.319 0.918 1.797 0.614 0.690
491 1964 409.885 0.989 2.033 0.709 0.712
492 1968 410.571 0.760 2.079 0.769 0.495
493 1972 411.115 1.009 1.786 0.454 0.831
494 1976 411.860 1.118 2.127 0.671 0.761
495 1980 412.568 0.602 1.974 1.047 0.477
496 1984 413.378 1.000 2.041 0.496 0.937
497 1988 413.939 0.804 1.964 0.845 0.517
498 1992 414.579 0.697 1.817 0.595 0.556
499 1996 415.196 0.952 1.768 0.447 0.843
500 2000 415.905 0.938 2.014 0.676 0.611
501 2004 416.391 0.683 1.885 0.767 0.526
502 2008 417.542 0.805 1.884 0.557 0.736
503 2012 418.566 0.962 1.986 0.576 0.664
504 2016 419.159 0.716 2.224 0.784 0.580
505 2020 419.809 0.920 2.163 0.607 0.818
506 2024 420.309 0.671 1.886 0.830 0.510
507 2028 421.069 0.931 1.995 0.501 0.821
508 2032 421.996 0.829 2.046 0.708 0.527
509 2036 423.040 0.807 1.947 0.586 0.667
510 2040 423.975 0.809 1.939 0.663 0.635
511 2044 425.114 0.802 1.962 0.611 0.627
512 2048 426.339 0.852 1.909 0.577 0.624
513 2052 427.171 0.857 1.839 0.603 0.663
514 2056 427.926 0.852 1.944 0.676 0.691
515 2060 428.880 0.759 1.923 0.748 0.609
516 2064 429.544 0.862 1.898 0.620 0.678
517 2068 430.254 0.675 1.974 0.793 0.592
518 2072 430.982 0.823 1.889 0.587 0.709
519 2076 431.875 0.908 1.821 0.579 0.664
520 2080 432.358 0.776 1.912 0.682 0.617
521 2084 433.091 1.066 2.012 0.550 0.820
522 2088 433.715 0.647 1.975 0.901 0.507
523 2092 434.297 0.938 1.998 0.564 0.780
524 2096 434.946 0.757 1.947 0.770 0.559
525 2100 435.355 0.786 1.773 0.602 0.699
526 2104 435.934 0.923 1.788 0.591 0.685
527 2108 436.956 0.897 1.976 0.603 0.633
528 2112 437.976 1.091 2.070 0.601 0.800
529 2116 439.026 0.593 1.972 0.957 0.504
530 2120 439.964 0.762 1.890 0.664 0.808
531 2124 440.645 0.931 2.075 0.651 0.702
532 2128 441.613 0.714 1.882 0.749 0.562
533 2132 442.606 0.790 2.027 0.633 0.762
534 2136 443.654 0.967 2.040 0.601 0.672
535 2140 444.627 0.766 1.910 0.763 0.589
536 2144 445.433 1.005 1.938 0.586 0.726
537 2148 446.045 0.711 1.926 0.765 0.526
538 2152 446.895 0.946 1.760 0.480 0.782
539 2156 447.707 0.846 1.896 0.733 0.649
540 2160 448.596 0.787 2.001 0.660 0.655
541 2164 449.563 0.817 2.017 0.717 0.732
542 2168 450.146 0.723 1.890 0.777 0.629
543 2172 450.998 0.760 1.822 0.670 0.689
544 2176 451.654 0.833 1.872 0.613 0.652
545 2180 452.108 0.823 1.858 0.648 0.660
546 2184 452.676 0.894 1.984 0.648 0.694
547 2188 453.217 0.837 2.048 0.760 0.659
548 2192 454.191 0.733 1.904 0.709 0.622
549 2196 454.910 0.759 1.752 0.593 0.665
550 2200 455.869 0.962 1.881 0.537 0.738
551 2204 456.791 0.752 1.859 0.747 0.581
552 2208 458.148 1.000 2.018 0.543 0.805
553 2212 459.377 0.873 2.032 0.768 0.623
554 2216 460.809 0.807 2.088 0.803 0.664
555 2220 461.794 0.773 1.958 0.657 0.618
556 2224 462.783 0.822 1.936 0.640 0.673
557 2228 463.372 0.882 1.866 0.606 0.679
558 2232 463.996 0.794 1.772 0.675 0.642
559 2236 464.684 0.876 1.853 0.619 0.732
560 2240 465.500 0.817 1.927 0.790 0.720
561 2244 466.113 0.759 2.025 0.759 0.677
562 2248 467.062 0.784 1.937 0.727 0.669
